slide_name,permissible_angle,slide_height_um,slide_width_um,scanner_name,actual_angle,time_stamp,slide_id,load_identifier,offset_pos_x_um,offset_pos_y_um,row_index,col_index,row_col
H01CBA01P_105041,1.6360385273447775,74675.016,25623.0,H01CBA01P,-1.0696342697162415,2021-04-20T15:03:35,105041,CS002-3-1618913997119,-100.0,3100.0,0,11,"0,11"
H01CBA03P_105157,1.9904695524324192,74366.76,25584.0,H01CBA03P,-0.4106527155481184,2021-04-20T15:05:47,105157,CS002-2-1618913997118,12.5,1506.25,0,7,"0,7"
H01CBA01P_105042,1.532138995391859,75137.4,25740.0,H01CBA01P,-0.46897148234760916,2021-04-20T15:07:22,105042,CS002-3-1618913997119,100.0,3293.75,0,12,"0,12"
H01CBA03P_105158,2.0106131288002738,74790.612,25545.0,H01CBA03P,-0.9423239645013795,2021-04-20T15:11:07,105158,CS002-2-1618913997118,-300.0,1781.25,0,8,"0,8"
H01CBA01P_105043,1.6301488787945404,74944.74,25623.0,H01CBA01P,-0.47017709159205795,2021-04-20T15:11:45,105043,CS002-3-1618913997119,681.25,3137.5,0,13,"0,13"
H01CBA03P_105159,1.9812269603251125,74713.548,25584.0,H01CBA03P,-0.4401892542229297,2021-04-20T15:12:26,105159,CS002-2-1618913997118,131.25,1550.0,0,9,"0,9"
H01CBA01P_105053,1.818302880145475,74944.74,25350.0,H01CBA01P,-0.15672413363896653,2021-04-20T16:11:08,105053,CS002-3-1618913997119,368.75,3331.25,0,23,"0,23"
H01CBA03P_105169,1.7678490978252526,75753.912,25818.0,H01CBA03P,0.15505006706530056,2021-04-20T16:11:47,105169,CS002-2-1618913997118,-25.0,1118.75,0,19,"0,19"
H01CBA01P_105054,1.4741254675208448,74906.208,25818.0,H01CBA01P,0.5331431891972831,2021-04-20T16:14:39,105054,CS002-3-1618913997119,606.25,3293.75,0,24,"0,24"
H01CBA03P_105170,2.0766829298109637,74675.016,25467.0,H01CBA03P,0.1572902181005086,2021-04-20T16:17:58,105170,CS002-2-1618913997118,12.5,1037.5,0,20,"0,20"
H01CBA03P_105171,1.1175668046122151,75676.848,26676.0,H01CBA03P,0.12416631299261385,2021-04-20T16:22:52,105171,CS002-2-1618913997118,56.25,1118.75,0,21,"0,21"
H01CBA01P_105061,1.4282856314104688,74019.972,25896.0,H01CBA01P,0.15868217047653543,2021-04-20T17:09:00,105061,CS002-3-1618913997119,412.5,3412.5,1,1,"1,1"
H01CBA03P_105177,2.159971144639051,75060.336,25311.0,H01CBA03P,0.25037291986734006,2021-04-20T17:09:39,105177,CS002-2-1618913997118,-493.75,1237.5,0,27,"0,27"
H01CBA01P_105062,1.4412712902475457,74983.272,25857.0,H01CBA01P,0.18797241929460862,2021-04-20T17:14:42,105062,CS002-3-1618913997119,762.5,3450.0,1,2,"1,2"
H01CBA03P_105178,1.8917277129791146,74520.888,25701.0,H01CBA03P,0.0945692445314233,2021-04-20T17:15:33,105178,CS002-2-1618913997118,-412.5,1193.75,0,28,"0,28"
H01CBA01P_105051,1.663217332060797,74867.67599999999,25584.0,H01CBA01P,-0.1568854558470178,2021-04-20T15:59:53,105051,CS002-3-1618913997119,412.5,3375.0,0,21,"0,21"
H01CBA01P_105052,1.6657900419845173,74752.08,25584.0,H01CBA01P,0.031425574750798956,2021-04-20T16:04:31,105052,CS002-3-1618913997119,1031.25,3331.25,0,22,"0,22"
H01CBA03P_105168,2.1401859682090567,75753.912,25311.0,H01CBA03P,0.4341438122532205,2021-04-20T16:05:10,105168,CS002-2-1618913997118,168.75,1156.25,0,18,"0,18"
H01CBA03P_105172,2.045012623861245,75830.976,25467.0,H01CBA03P,0.4646820145511547,2021-04-20T16:28:20,105172,CS002-2-1618913997118,-100.0,1275.0,0,22,"0,22"
H01CBA01P_105055,1.6919946518750322,74983.272,25506.0,H01CBA01P,0.2819592611960054,2021-04-20T16:28:59,105055,CS002-3-1618913997119,643.75,3100.0,0,25,"0,25"
H01CBA01P_105044,1.5971489042567955,75021.804,25662.0,H01CBA01P,-0.25050151489290096,2021-04-20T15:18:49,105044,CS002-3-1618913997119,412.5,3018.75,0,14,"0,14"
H01CBA03P_105160,1.822990807762094,74752.08,25779.0,H01CBA03P,-0.2199795526694742,2021-04-20T15:20:33,105160,CS002-2-1618913997118,-25.0,1587.5,0,10,"0,10"
