date,slide_name,blob_index,x_position,y_position,stack_size,reference_z,best_z,z_difference,best_index,focus_metric,color_metric,process_time,capture_status,Biopsy,Debris,Background
2021-04-16,H01CBA02P_100003,1,15962.5,25631.25,37,6440.0,6443.75,-3.75,20,18.372691171978413,10.35433440142049,2.2137486934661865,1,True,False,False
2021-04-16,H01CBA02P_100003,2,15500.0,23618.75,37,6413.75,6425.0,-11.25,24,6.602874792112141,8.289362937365972,1.944495439529419,1,True,False,False
2021-04-16,H01CBA02P_100003,3,14443.75,23237.5,69,6425.0,6404.375,20.625,23,8.499168448562605,7.872240943721638,1.88425874710083,1,True,False,False
2021-04-16,H01CBA02P_100003,4,16006.25,10425.0,69,6404.375,6466.25,-61.875,67,29.52799103960901,19.58943806702899,2.8305470943450928,1,True,False,False
2021-04-16,H01CBA02P_100005,0,16968.75,43237.5,37,6680.0,6676.25,3.75,16,20.15259227122005,20.4506302489654,3.7554900646209717,1,True,False,False
2021-04-16,H01CBA02P_100005,1,18825.0,50131.25,37,6560.0,6565.625,-5.625,21,24.95553575671181,10.209438493514883,6.224641799926758,1,True,False,False
2021-04-16,H01CBA02P_100005,2,23287.5,34162.5,37,6690.0,6695.625,-5.625,21,9.971014492753623,10.447768702523188,6.285967111587524,1,True,False,False
2021-04-16,H01CBA02P_100005,3,16381.25,25631.25,69,6695.625,6684.375,11.25,28,29.454312188168217,23.4405547787476,2.5502772331237793,1,True,False,False
2021-04-16,H01CBA02P_100005,4,16087.5,16768.75,69,6684.375,6688.125,-3.75,36,21.5110020651717,22.457310688228937,2.3220112323760986,1,True,False,False
2021-04-16,H01CBA02P_100002,0,20675.0,21387.5,37,6450.0,6448.125,1.875,17,69.38005294776498,20.99047366468643,3.7098398208618164,1,True,False,False
2021-04-16,H01CBA02P_100002,1,12506.25,9962.5,37,6458.125,6454.375,3.75,16,10.220578918191178,25.080515830597545,2.094271421432495,1,True,False,False
2021-04-16,H01CBA02P_100002,2,9181.25,44750.0,37,6424.375,6420.625,3.75,16,29.651294844381084,14.532447111114461,3.546985626220703,1,True,False,False
2021-04-16,H01CBA02P_100002,0,19918.75,25337.5,37,6350.0,6348.125,1.875,17,31.296025523537985,14.379097917024446,3.8551313877105713,1,True,False,False
2021-04-16,H01CBA02P_100002,1,12468.75,9962.5,37,6318.125,6318.125,0.0,18,9.065157994773106,11.96080518938179,2.3147711753845215,1,True,False,False
2021-04-16,H01CBA02P_100002,2,8762.5,44500.0,37,6200.0,6200.0,0.0,18,33.90178529002477,16.167138678819676,6.415806293487549,1,True,False,False
2021-04-16,H01CBA02P_100002,0,20087.5,25168.75,37,6350.0,6351.875,-1.875,19,30.50121168923734,14.673561997308223,3.814505100250244,1,True,False,False
2021-04-16,H01CBA02P_100002,1,12593.75,9875.0,37,6321.875,6323.75,-1.875,19,8.272006414825375,8.422608367491305,2.378077268600464,1,True,False,False
2021-04-16,H01CBA02P_100002,2,8887.5,44500.0,37,6210.0,6211.875,-1.875,19,32.188412585276446,15.657700429478087,6.441678762435913,1,True,False,False
2021-04-16,H01CBA06P_99830,0,13881.25,28043.75,25,6610.0,6610.0,0.0,12,17.33525778094559,22.158203459839957,3.362443685531616,1,True,False,False
2021-04-16,H01CBA06P_99830,1,22112.5,16918.75,25,6590.0,6590.0,0.0,12,37.45534059668058,25.544324968481252,2.308087110519409,1,True,False,False
2021-04-16,097383_100021,0,17306.25,24162.5,37,6680.0,6676.25,3.75,16,48.93816651393274,21.74054201060753,3.1117029190063477,1,True,False,False
2021-04-16,H01CBA03P_39,0,17912.5,23393.75,25,7040.0,7045.625,-5.625,15,40.97100431049112,45.74961963457335,3.067880630493164,1,True,False,False
2021-04-16,H01CBA03P_39,1,14906.25,10143.75,25,7005.625,7015.0,-9.375,17,15.236567898720429,63.48527098172355,2.5135037899017334,1,True,False,False
2021-04-16,H01CBA03P_39,2,12606.25,38812.5,25,7035.0,7036.875,-1.875,13,30.99145368767607,48.165368729029076,3.397142171859741,1,True,False,False
2021-04-16,H01CBA02P_100022,0,18362.5,28156.25,37,6390.0,6391.875,-1.875,19,52.70085870413742,9.668795417512413,3.7917990684509277,1,True,False,False
2021-04-16,H01CBA02P_100022,1,19037.5,33406.25,37,6381.875,6380.0,1.875,17,48.97537589519058,9.351797658064354,2.1617543697357178,1,True,False,False
2021-04-16,H01CBA02P_100022,2,10993.75,39412.5,37,6370.0,6368.125,1.875,17,39.55261499684939,10.967158600419271,2.0880074501037598,1,True,False,False
2021-04-16,H01CBA02P_100022,3,14612.5,44793.75,69,6368.125,6358.75,9.375,29,38.98425249465432,10.24840756355979,2.2436411380767822,1,True,False,False
2021-04-16,H01CBA02P_100022,4,13606.25,50131.25,69,6358.75,6336.25,22.5,22,49.45790652683026,9.826451707754533,2.1942641735076904,1,True,False,False
2021-04-16,H01CBA06P_99832,0,19687.5,38256.25,25,6650.0,6651.875,-1.875,13,8.914282320198216,18.520200256666435,3.676618814468384,1,True,False,False
2021-04-16,H01CBA06P_99832,1,21743.75,30212.5,25,6651.875,6650.0,1.875,11,14.918880537376616,15.502980564812587,2.119840621948242,1,True,False,False
2021-04-16,H01CBA06P_99832,2,22937.5,19587.5,25,6640.0,6647.5,-7.5,16,13.875829571553027,14.000016668035357,2.2869186401367188,1,True,False,False
2021-04-16,H01CBA06P_99832,3,8281.25,12793.75,47,6647.5,6660.625,-13.125,30,17.24703017343787,16.93539898737423,2.0575966835021973,1,True,False,False
2021-04-16,H01CBA06P_99832,4,10337.5,47668.75,47,6651.875,6655.625,-3.75,25,19.998564153418652,14.24556253857024,3.0913286209106445,1,True,False,False
2021-04-16,H01CBA06P_99834,0,12850.0,19337.5,25,6740.0,-1.0,6741.0,13,7.553338085055833,0.0,6.935807466506958,0,False,True,False
2021-04-16,H01CBA06P_99834,1,20306.25,10962.5,25,6730.0,6733.75,-3.75,14,14.059871703492515,7.913287654801569,4.107747316360474,1,True,False,False
2021-04-16,H01CBA06P_99834,2,21250.0,40712.5,25,6720.0,6727.5,-7.5,16,10.619387027797577,8.76244314157486,6.904824495315552,1,True,False,False
2021-04-16,H01CBA02P_100023,0,14237.5,28700.0,37,6350.0,6353.75,-3.75,20,22.120099786172485,13.926836405932141,3.9457802772521973,1,True,False,False
2021-04-16,H01CBA03P_40,0,13262.5,19281.25,25,7030.0,7033.75,-3.75,14,35.11712317143536,64.68903288690208,3.258842706680298,1,True,False,False
2021-04-16,H01CBA03P_40,1,14618.75,10475.0,25,7003.75,7015.0,-11.25,18,17.932391252698668,53.57642837586867,2.2085213661193848,1,True,False,False
2021-04-16,H01CBA03P_40,2,13056.25,39312.5,25,7025.0,7030.625,-5.625,15,24.48078893442623,50.81145583524562,3.1360557079315186,1,True,False,False
2021-04-16,H01CBA06P_99836,0,11325.0,15087.5,25,6520.0,6521.875,-1.875,13,11.418151579947732,7.545943676597512,3.792264938354492,1,True,False,False
2021-04-16,H01CBA02P_100024,0,21562.5,24793.75,37,6600.0,6600.0,0.0,18,18.669937435653758,36.039940574020775,3.3044686317443848,1,True,False,False
2021-04-16,H01CBA02P_100024,1,15162.5,42312.5,37,6580.0,6574.375,5.625,15,33.05748905406782,64.81579857877512,2.740722179412842,1,True,False,False
2021-04-16,H01CBA03P_35,0,15200.0,32037.5,25,7060.0,7067.5,-7.5,16,21.40582764823677,14.597655058310057,3.0990660190582275,1,True,False,False
2021-04-16,H01CBA02P_100010,0,13181.25,14331.25,37,6610.0,6611.875,-1.875,19,25.04791553114475,111.28574677560022,3.6367478370666504,1,True,False,False
2021-04-16,H01CBA02P_100010,1,23875.0,18993.75,37,6621.875,6621.875,0.0,18,30.28649492583919,73.5770406554852,2.2015504837036133,1,True,False,False
2021-04-16,H01CBA02P_100010,2,14993.75,27650.0,37,6611.875,6617.5,-5.625,21,38.45724241704284,42.98460345281975,2.1843018531799316,1,True,False,False
2021-04-16,H01CBA02P_100010,3,25768.75,36475.0,69,6617.5,6613.75,3.75,32,46.95141703153107,57.385913573940286,2.2820684909820557,1,True,False,False
2021-04-16,H01CBA02P_100010,4,17100.0,43362.5,69,6613.75,6604.375,9.375,29,35.99966059125004,59.76412186176279,2.286039352416992,1,True,False,False
2021-04-16,H01CBA02P_100010,5,8168.75,41643.75,69,6604.375,6591.25,13.125,27,8.548229983368971,12.171897512998807,2.2718112468719482,1,True,False,False
2021-04-16,H01CBA02P_100010,6,5393.75,40675.0,69,6591.25,6570.625,20.625,23,7.1803278688524586,33.6727029015058,1.9958245754241943,1,True,False,False
2021-04-16,H01CBA02P_100010,7,7456.25,48112.5,69,6591.25,6602.5,-11.25,40,41.659287097633495,50.48634033241481,2.2208034992218018,1,True,False,False
2021-04-16,H01CBA02P_100010,8,8006.25,48950.0,69,6602.5,6608.125,-5.625,37,15.820406488261087,35.28028691617089,1.8719120025634766,1,True,False,False
2021-04-16,H01CBA02P_100010,9,6868.75,31350.0,69,6570.625,6611.875,-41.25,56,46.08887548659464,61.03822330291292,2.7983028888702393,1,True,False,False
2021-04-16,H01CBA02P_100010,10,23581.25,10337.5,69,6621.875,6621.875,0.0,34,17.427960492821505,48.18140792024659,2.820120096206665,1,True,False,False
2021-04-16,H01CBA03P_36,0,18287.5,22650.0,25,7040.0,7040.0,0.0,12,44.74440484675694,47.932713158932486,3.0652952194213867,1,True,False,False
2021-04-16,H01CBA03P_36,1,18987.5,43006.25,25,7030.0,7026.25,3.75,10,31.581926484064766,61.26520351666959,2.7825536727905273,1,True,False,False
2021-04-16,H01CBA02P_100011,0,15243.75,23193.75,37,6710.0,6710.0,0.0,18,46.57431354580323,22.333156599298682,2.9347457885742188,1,True,False,False
2021-04-16,H01CBA02P_100011,1,15668.75,34081.25,37,6700.0,6703.75,-3.75,20,47.95704782269287,19.06165702868022,2.2096614837646484,1,True,False,False
2021-04-16,H01CBA02P_100011,2,14237.5,43406.25,37,6703.75,6703.75,0.0,18,38.35258694738381,23.286508118748355,2.3092474937438965,1,True,False,False
2021-04-16,H01CBA02P_100012,0,10737.5,33031.25,37,6420.0,6418.125,1.875,17,28.280110647252485,31.48102437128835,3.769779682159424,1,True,False,False
2021-04-16,H01CBA02P_100012,1,10993.75,21556.25,37,6428.125,6424.375,3.75,16,18.734556901876935,24.597198693326114,2.256732940673828,1,True,False,False
2021-04-16,H01CBA02P_100012,2,11793.75,45006.25,37,6424.375,6428.125,-3.75,20,33.68380341445203,31.686938602883078,3.033000946044922,1,True,False,False
2021-04-16,H01CBA02P_100015,0,10362.5,22606.25,37,6480.0,6478.125,1.875,17,24.559165544732185,15.297035915029056,3.551675796508789,1,True,False,False
2021-04-16,H01CBA02P_100015,1,10656.25,13912.5,37,6478.125,6476.25,1.875,17,30.111764472954782,12.635091838301603,2.1871554851531982,1,True,False,False
2021-04-16,H01CBA02P_100015,2,11793.75,30506.25,37,6456.25,6456.25,0.0,18,30.23169538663648,20.788229125633045,2.692445993423462,1,True,False,False
2021-04-16,H01CBA02P_100015,3,19625.0,39668.75,69,6456.25,6452.5,3.75,32,35.242989409418485,23.413413612518788,2.352132797241211,1,True,False,False
2021-04-16,H01CBA02P_100016,0,13812.5,33362.5,37,6650.0,6651.875,-1.875,19,18.264698894525736,21.49535595586135,3.3504750728607178,1,True,False,False
2021-04-16,H01CBA02P_100016,1,10612.5,43031.25,37,6630.0,-1.0,6631.0,15,6.258256117842718,0.0,4.975718975067139,0,False,True,False
2021-04-16,H01CBA02P_100016,2,12843.75,26518.75,37,6661.875,6665.625,-3.75,20,14.76196585547975,9.401136303063394,2.5666868686676025,1,True,False,False
2021-04-16,H01CBA02P_100017,0,18993.75,44331.25,37,6350.0,6353.75,-3.75,20,32.84942130808133,28.052417979824153,4.477315902709961,1,True,False,False
2021-04-16,H01CBA02P_100017,1,19075.0,39581.25,37,6363.75,6363.75,0.0,18,6.823057733428368,14.791025016858146,2.02742600440979,1,True,False,False
2021-04-16,H01CBA02P_100017,2,12806.25,34287.5,37,6373.75,6373.75,0.0,18,22.99578741524571,15.8227141386611,1.9695978164672852,1,True,False,False
2021-04-16,H01CBA02P_100017,3,16550.0,29837.5,69,6373.75,6381.25,-7.5,38,37.45143060788107,13.278443390285114,2.139641523361206,1,True,False,False
2021-04-16,H01CBA02P_100017,4,5731.25,18281.25,69,6381.25,6409.375,-28.125,49,21.80679496317415,10.078502246258989,2.465351104736328,1,True,False,False
2021-04-16,d13c07074b56913dj018eae14f93q503_100019,0,11706.25,36306.25,37,6310.0,6310.0,0.0,18,37.87532498387808,31.798464959007042,4.314860582351685,1,True,False,False
2021-04-16,d13c07074b56913dj018eae14f93q503_100019,1,12212.5,47606.25,37,6310.0,6304.375,5.625,15,24.990432067338705,26.798435899652162,2.358964204788208,1,True,False,False
2021-04-16,d13c07074b56913dj018eae14f93q503_100019,2,11037.5,24118.75,37,6294.375,6290.625,3.75,16,35.362760071954646,27.849569121868957,2.976020574569702,1,True,False,False
2021-04-16,d13c07074b56913dj018eae14f93q503_100019,3,9268.75,12106.25,69,6290.625,6290.625,0.0,34,30.577826426365274,54.46688920193043,2.5531198978424072,1,True,False,False
2021-04-16,H01CBA02P_100020,0,20168.75,10762.5,37,6680.0,6676.25,3.75,16,28.22498387808437,22.332450281193136,3.6071841716766357,1,True,False,False
2021-04-16,H01CBA02P_100020,1,19668.75,8993.75,37,6676.25,6678.125,-1.875,19,7.929037344219097,9.539120672285637,1.818329095840454,1,True,False,False
2021-04-16,H01CBA02P_100020,2,20337.5,8575.0,37,6678.125,6681.875,-3.75,20,8.723548744753307,12.47386894678118,1.808088779449463,1,True,False,False
2021-04-16,H01CBA02P_100020,3,20168.75,8156.25,69,6681.875,6680.0,1.875,33,8.876966938976919,9.163616393906416,1.932149887084961,1,True,False,False
2021-04-16,H01CBA02P_100020,4,13306.25,21725.0,69,6676.25,6676.25,0.0,34,33.46302141669212,25.18312711938705,2.5344958305358887,1,True,False,False
2021-04-16,H01CBA02P_100020,5,12506.25,33950.0,69,6676.25,6661.25,15.0,26,32.87243322132844,26.2985938892152,2.4854226112365723,1,True,False,False
2021-04-16,H01CBA02P_100020,6,21562.5,45300.0,69,6661.25,6621.875,39.375,13,46.20637749041169,30.340066856484874,2.613036870956421,1,True,False,False
2021-04-16,Sld1_100025,0,19118.75,8950.0,37,6590.0,6590.0,0.0,18,44.7402275236538,53.5428437855566,3.9712603092193604,1,True,False,False
2021-04-16,Sld1_100025,1,13268.75,16093.75,37,6590.0,6590.0,0.0,18,41.618850761972645,57.71688109908649,2.1339430809020996,1,True,False,False
2021-04-16,Sld1_100025,2,11918.75,23406.25,37,6580.0,6580.0,0.0,18,51.5520245731935,53.131218528218746,2.1800575256347656,1,True,False,False
2021-04-16,Sld1_100025,3,13900.0,32312.5,69,6580.0,6580.0,0.0,34,31.33462205807181,49.72172249857903,2.4167745113372803,1,True,False,False
2021-04-16,Sld1_100025,4,6993.75,46012.5,69,6580.0,6523.75,56.25,4,32.683572616502055,49.45088458355709,2.7282097339630127,1,True,False,False
2021-04-16,H01CBA03P_41,0,18406.25,22562.5,25,7050.0,7046.25,3.75,10,43.04881037233141,34.0693329721457,3.018785238265991,1,True,False,False
2021-04-16,H01CBA03P_41,1,17543.75,45500.0,25,7036.25,7038.125,-1.875,13,29.718395954247697,47.376582131299806,2.817063808441162,1,True,False,False
2021-04-16,H01CBA03P_32,0,16600.0,22318.75,25,7070.0,7071.875,-1.875,13,17.32048331805994,8.171963487202495,3.1594393253326416,1,True,False,False
2021-04-16,H01CBA02P_100010,0,7500.0,37356.25,37,6620.0,6627.5,-7.5,22,12.804537894986932,20.61306347541404,7.928161859512329,1,True,False,False
2021-04-16,H01CBA02P_100010,1,7537.5,28743.75,37,6617.5,6617.5,0.0,18,39.58146408955601,45.48867234551227,2.2496159076690674,1,True,False,False
2021-04-16,H01CBA02P_100010,2,5518.75,15300.0,37,6597.5,6605.0,-7.5,22,38.407973809623634,36.87939421307788,2.4231863021850586,1,True,False,False
